Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,14,0,0,84,100,5,191,4.92,185,4.93,0.05,2.03,21.8,500
1,14,0,0,86,100,5,308,4.82,302,4.83,0.06,3.01,18.02,500
2,14,0,0,84,100,5,256,4.91,252,4.89,0.04,1.83,21.15,500
3,14,0,0,82,100,5,209,4.96,198,4.91,0.04,1.41,22.41,500
4,14,0,0,80,100,5,131,4.96,105,4.93,0.03,0.81,46.58,450
5,14,0,0,78,100,5,120,4.96,91,4.88,0.04,1.11,24.2,500
6,14,0,0,78,100,5,114,5,77,4.97,0.03,0.8,23.95,500
7,14,0,0,78,100,5,104,5,76,4.88,0.04,1.1,24.4,500
8,14,0,0,78,100,5,131,4.92,79,4.87,0.03,0.91,24.64,500
9,14,0,0,80,100,5,156,4.94,105,4.71,0.03,0.81,24.85,500
10,14,0,0,82,100,5,191,4.9,138,4.89,0.04,2.55,27.53,500
11,14,0,0,84,100,5,268,4.9,225,4.88,0.04,1.33,21.71,500
12,14,0,0,86,100,5,232,3.78,214,4.78,0.06,2.38,36.01,400
13,14,0,0,88,100,5,281,3.83,276,4.81,0.07,4.18,34.41,400
14,14,0,0,86,100,5,288,4.85,262,4.86,0.06,2.47,19.33,500
15,14,0,0,88,100,5,367,4.8,366,4.81,0.07,3.75,16.43,500
